x1,x2,x3,x4,x5,x6
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2129.2083524546624,270.7916475453377
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,0.0,2400.0
2400.0,0.0,0.0,0.0,0.0,0.0
2400.0,0.0,0.0,0.0,0.0,0.0
2400.0,0.0,0.0,0.0,0.0,0.0
2400.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
2400.0,0.0,0.0,0.0,0.0,0.0
2400.0,0.0,0.0,0.0,0.0,0.0
170.11495833338796,2229.885041666612,0.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,1688.3099504134975,711.6900495865025,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,2400.0,0.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,0.0,0.0,0.0,2400.0
0.0,0.0,2400.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,2400.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2400.0,0.0,0.0
2400.0,0.0,0.0,0.0,0.0,0.0
