type,line_id,year,hour,flow_mw
existing,1,1,1,1.0
existing,1,1,2,1.0
existing,1,1,3,1.0
existing,1,1,4,1.0
existing,1,1,5,1.0
existing,1,1,6,1.0
existing,1,1,7,1.0
existing,1,1,8,1.0
existing,1,1,9,1.0
existing,1,1,10,1.0
existing,1,1,11,1.0
existing,1,1,12,1.0
existing,1,1,13,1.0
existing,1,1,14,1.0
existing,1,1,15,1.0
existing,1,1,16,1.0
existing,1,1,17,1.0
existing,1,1,18,1.0
existing,1,1,19,1.0
existing,1,1,20,1.0
existing,1,1,21,1.0
existing,1,1,22,1.0
existing,1,1,23,1.0
existing,1,1,24,1.0
existing,1,2,1,1.0
existing,1,2,2,1.0
existing,1,2,3,1.0
existing,1,2,4,1.0
existing,1,2,5,1.0
existing,1,2,6,1.0
existing,1,2,7,1.0
existing,1,2,8,1.0
existing,1,2,9,1.0
existing,1,2,10,1.0
existing,1,2,11,1.0
existing,1,2,12,1.0
existing,1,2,13,1.0
existing,1,2,14,1.0
existing,1,2,15,1.0
existing,1,2,16,1.0
existing,1,2,17,1.0
existing,1,2,18,1.0
existing,1,2,19,1.0
existing,1,2,20,1.0
existing,1,2,21,1.0
existing,1,2,22,1.0
existing,1,2,23,1.0
existing,1,2,24,1.0
existing,1,3,1,1.0
existing,1,3,2,1.0
existing,1,3,3,1.0
existing,1,3,4,1.0
existing,1,3,5,1.0
existing,1,3,6,1.0
existing,1,3,7,1.0
existing,1,3,8,1.0
existing,1,3,9,1.0
existing,1,3,10,1.0
existing,1,3,11,1.0
existing,1,3,12,1.0
existing,1,3,13,1.0
existing,1,3,14,1.0
existing,1,3,15,1.0
existing,1,3,16,1.0
existing,1,3,17,1.0
existing,1,3,18,1.0
existing,1,3,19,1.0
existing,1,3,20,1.0
existing,1,3,21,1.0
existing,1,3,22,1.0
existing,1,3,23,1.0
existing,1,3,24,1.0
existing,1,4,1,1.0
existing,1,4,2,1.0
existing,1,4,3,1.0
existing,1,4,4,1.0
existing,1,4,5,1.0
existing,1,4,6,1.0
existing,1,4,7,1.0
existing,1,4,8,1.0
existing,1,4,9,1.0
existing,1,4,10,1.0
existing,1,4,11,1.0
existing,1,4,12,1.0
existing,1,4,13,1.0
existing,1,4,14,1.0
existing,1,4,15,1.0
existing,1,4,16,1.0
existing,1,4,17,1.0
existing,1,4,18,1.0
existing,1,4,19,1.0
existing,1,4,20,1.0
existing,1,4,21,1.0
existing,1,4,22,1.0
existing,1,4,23,1.0
existing,1,4,24,1.0
existing,1,5,1,1.0
existing,1,5,2,1.0
existing,1,5,3,1.0
existing,1,5,4,1.0
existing,1,5,5,1.0
existing,1,5,6,1.0
existing,1,5,7,1.0
existing,1,5,8,1.0
existing,1,5,9,1.0
existing,1,5,10,1.0
existing,1,5,11,1.0
existing,1,5,12,1.0
existing,1,5,13,1.0
existing,1,5,14,1.0
existing,1,5,15,1.0
existing,1,5,16,1.0
existing,1,5,17,1.0
existing,1,5,18,1.0
existing,1,5,19,1.0
existing,1,5,20,1.0
existing,1,5,21,1.0
existing,1,5,22,1.0
existing,1,5,23,1.0
existing,1,5,24,1.0
existing,1,6,1,1.0
existing,1,6,2,1.0
existing,1,6,3,1.0
existing,1,6,4,1.0
existing,1,6,5,1.0
existing,1,6,6,1.0
existing,1,6,7,1.0
existing,1,6,8,1.0
existing,1,6,9,1.0
existing,1,6,10,1.0
existing,1,6,11,1.0
existing,1,6,12,1.0
existing,1,6,13,1.0
existing,1,6,14,1.0
existing,1,6,15,1.0
existing,1,6,16,1.0
existing,1,6,17,1.0
existing,1,6,18,1.0
existing,1,6,19,1.0
existing,1,6,20,1.0
existing,1,6,21,1.0
existing,1,6,22,1.0
existing,1,6,23,1.0
existing,1,6,24,1.0
existing,2,1,1,0.5
existing,2,1,2,0.5
existing,2,1,3,0.5
existing,2,1,4,0.5
existing,2,1,5,0.5
existing,2,1,6,0.5
existing,2,1,7,0.5
existing,2,1,8,0.5
existing,2,1,9,0.5
existing,2,1,10,0.5
existing,2,1,11,0.5
existing,2,1,12,0.5
existing,2,1,13,0.5
existing,2,1,14,0.5
existing,2,1,15,0.5
existing,2,1,16,0.5
existing,2,1,17,0.5
existing,2,1,18,0.5
existing,2,1,19,0.5
existing,2,1,20,0.5
existing,2,1,21,0.5
existing,2,1,22,0.5
existing,2,1,23,0.5
existing,2,1,24,0.5
existing,2,2,1,0.5
existing,2,2,2,0.5
existing,2,2,3,0.5
existing,2,2,4,0.5
existing,2,2,5,0.5
existing,2,2,6,0.5
existing,2,2,7,0.5
existing,2,2,8,0.5
existing,2,2,9,0.5
existing,2,2,10,0.5
existing,2,2,11,0.5
existing,2,2,12,0.5
existing,2,2,13,0.5
existing,2,2,14,0.5
existing,2,2,15,0.5
existing,2,2,16,0.5
existing,2,2,17,0.5
existing,2,2,18,0.5
existing,2,2,19,0.5
existing,2,2,20,0.5
existing,2,2,21,0.5
existing,2,2,22,0.5
existing,2,2,23,0.5
